Year,2015,,2016,,2017,,2018,,2019,,2020,,2021,,2022,,2023,,2024,
Countries,,,,,,,,,,,,,,,,,,,,
European Union - 27 countries (from 2020),100,,104.31,,109.31,,114.81,,120.4,,127.14,,137.84,,148.86,,148.45,,153.44,
Euro area ? 21 countries (from 2026),100,,104.04,,108.66,,113.92,,118.96,,125.23,,135.13,,145.12,,143.64,,146.77,
Euro area ? 20 countries (2023-2025),100,,104.01,,108.59,,113.83,,118.84,,125.11,,134.99,,144.88,,143.22,,146.11,
Belgium,100,,102.33,,105.95,,109.15,,113.23,,118.09,,125.96,,132.93,,136.05,,140.42,
Bulgaria,100,b,107.02,,116.3,,123.96,,131.42,,137.41,,149.33,,169.92,b,186.67,,217.47,
Czechia,100,,107.2,,119.7,,130,,141.9,,153.9,,184.2,,215.3,,211.7,,222.3,
Denmark,100,b,104.57,,109.75,,114.59,,117.13,,122.18,,136.28,,142.7,,137.28,,142.11,
Germany,100,,107.5,,114.1,,121.7,,128.7,,138.7,,154.7,,164.1,,150.3,,148,
Estonia,100,,104.75,,110.51,,117.07,,125.27,,132.79,,152.78,,186.76,,197.72,,209.79,
Ireland,100,,107.46,,119.14,,131.33,,134.41,,134.82,,145.98,,163.96,,168.99,,183.38,
Greece,100,e,97.62,e,96.63,e,98.38,e,105.48,e,110.22,e,118.61,e,132.77,e,151.16,e,164.9,ep
Spain,100,,104.62,,111.1,,118.58,,124.71,,127.5,,132.19,,141.98,,147.69,,160.25,
France,100,,101.04,,104.24,,107.29,,110.86,,116.62,,123.98,,131.82,,131.26,,126.39,
Croatia,100,,100.89,,104.75,,111.14,,121.1,,130.38,,139.91,,160.69,,179.88,,198.54,
Italy,100,,100.3,,99.2,,98.6,,98.5,,100.4,,103,,106.9,,108.3,,111.7,
Cyprus,100,b,99.82,,104.48,,103.08,,111.7,,117.49,,115.7,,123.22,,134.6,,144.46,
Latvia,100,,108.49,,118.01,,129.3,,140.88,,145.77,,161.65,,184.01,,190.89,,198.9,
Lithuania,100,,105.4,,114.8,,123.18,,131.61,,141.18,,163.84,,195.05,,214.2,,235.02,
Luxembourg,100,,106.01,,111.96,,119.86,,131.99,,151.12,,172.15,,188.6,,171.48,,162.5,
Hungary,100,,113.38,,127.24,,145.5,,170.17,,178.58,,208.04,,254.52,,272.54,,309.86,p
Malta,100,,105.45,,111.03,,117.45,,124.65,,128.86,,135.44,,144.45,,153.42,,163.74,p
Netherlands,100,,105.29,,113.81,,124.4,,133.38,,144.07,,164.94,,186.84,,183.26,,198.24,
Austria,100,,106.71,,112.14,,118.83,,125.97,,135.52,,151.02,,168.49,,163.68,,163.06,
Poland,100,,101.86,,105.78,,112.74,,122.52,,135.36,,147.77,,165.21,,179.78,,206.7,
Portugal,100,,107.12,,117.02,,129.03,,141.88,,154.33,,168.84,,190.17,,205.76,,224.44,
Romania,100,,105.95,,112.36,,118.62,,122.69,,128.44,,134.09,,143.7,,148.43,,155.89,
Slovenia,100,,103.25,,111.79,,121.55,,129.69,,135.66,,151.32,,173.65,,186.22,,200.26,
Slovakia,100,,106.67,,112.91,,121.32,,132.4,,145.02,,154.27,,175.41,,175.08,,181.67,
Finland,100,b,101.29,,102.39,,103.34,,103.77,,105.6,,110.46,,111.52,,104.58,,101.35,
Sweden,100,,108.24,,115.43,,114.35,,117.19,,122.11,,134.46,,139.25,,131.93,,132.02,
